% format: temp_front_[alt]_hPa(city1,city2,yyyy,mm,dd,h).

temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,1,8).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,1,9).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,9).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,1,9).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,10).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,10).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,10).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,10).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,1,10).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,11).
temp_front_700_hPa(barcis,pordenone,2019,4,1,11).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,11).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,11).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,1,11).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,12).
temp_front_700_hPa(barcis,pordenone,2019,4,1,12).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,12).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,12).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,1,12).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,13).
temp_front_700_hPa(barcis,pordenone,2019,4,1,13).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,13).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,13).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,1,13).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,14).
temp_front_700_hPa(barcis,pordenone,2019,4,1,14).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,14).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,14).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,1,14).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,15).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,15).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,15).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,15).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,1,15).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,16).
temp_front_700_hPa(gemona_stolvizza,gorizia,2019,4,1,16).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,18).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,1,18).
temp_front_700_hPa(lignano_grado,trieste,2019,4,1,19).
temp_front_700_hPa(gorizia,trieste,2019,4,1,19).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,20).
temp_front_700_hPa(barcis,pordenone,2019,4,1,20).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,1,20).
temp_front_700_hPa(lignano_grado,trieste,2019,4,1,21).
temp_front_700_hPa(gorizia,trieste,2019,4,1,21).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,22).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,22).
temp_front_700_hPa(gemona_stolvizza,gorizia,2019,4,1,22).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,1,23).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,1,23).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,1,23).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,1,23).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,1,23).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,2,0).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,2,0).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,2,0).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,2,0).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,2,0).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,2,4).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,2,4).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,2,4).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,2,4).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,2,4).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,2,5).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,2,5).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,2,6).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,2,6).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,2,6).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,2,6).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,2,6).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,2,7).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,2,7).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,2,8).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,2,8).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,2,8).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,2,8).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,2,8).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,2,9).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,2,9).
temp_front_700_hPa(barcis,pordenone,2019,4,2,9).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,2,9).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,2,9).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,2,9).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,3).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,3,3).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,3,3).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,3,3).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,4).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,3,4).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,3,4).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,3,4).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,3,5).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,5).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,3,5).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,3,5).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,3,5).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,6).
temp_front_700_hPa(lignano_grado,trieste,2019,4,3,6).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,3,6).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,3,6).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,7).
temp_front_700_hPa(lignano_grado,trieste,2019,4,3,7).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,3,7).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,3,7).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,3,8).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,8).
temp_front_700_hPa(lignano_grado,trieste,2019,4,3,8).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,3,8).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,3,8).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,3,8).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,13).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,4,13).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,4,13).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,14).
temp_front_700_hPa(lignano_grado,trieste,2019,4,4,14).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,4,14).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,4,14).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,16).
temp_front_700_hPa(lignano_grado,trieste,2019,4,4,16).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,4,16).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,4,16).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,4,17).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,4,17).
temp_front_700_hPa(lignano_grado,udine_palamnova,2019,4,4,18).
temp_front_700_hPa(barcis,pordenone,2019,4,4,18).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,4,18).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,4,18).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,4,19).
temp_front_700_hPa(barcis,pordenone,2019,4,4,19).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,4,19).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,4,19).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,4,19).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,4,20).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,20).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,4,20).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,4,20).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,4,20).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,4,21).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,21).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,4,21).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,4,21).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,4,21).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,4,22).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,4,22).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,4,22).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,4,22).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,4,22).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,4,23).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,23).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,4,23).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,4,23).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,4,23).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,5,0).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,5,0).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,5,0).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,5,0).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,5,0).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,5,0).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,5,1).
temp_front_700_hPa(lignano_grado,trieste,2019,4,5,7).
temp_front_700_hPa(gorizia,trieste,2019,4,5,7).
temp_front_700_hPa(lignano_grado,trieste,2019,4,5,8).
temp_front_700_hPa(gorizia,trieste,2019,4,5,8).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,5,9).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,5,9).
temp_front_700_hPa(gemona_stolvizza,gorizia,2019,4,5,9).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,5,10).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,5,10).
temp_front_700_hPa(gemona_stolvizza,gorizia,2019,4,5,10).
temp_front_700_hPa(lignano_grado,trieste,2019,4,5,12).
temp_front_700_hPa(gorizia,trieste,2019,4,5,12).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,5,13).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,5,14).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,5,15).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,5,15).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,5,15).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,5,17).
temp_front_700_hPa(lignano_grado,trieste,2019,4,5,17).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,5,17).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,5,17).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,5,18).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,5,18).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,5,18).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,5,18).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,5,18).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,5,19).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,5,19).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,5,19).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,5,19).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,5,19).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,5,20).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,5,20).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,5,20).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,5,21).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,5,22).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,5,22).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,5,22).
temp_front_700_hPa(lignano_grado,udine_palamnova,2019,4,5,23).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,5,23).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,5,23).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,5,23).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,6,0).
temp_front_700_hPa(barcis,pordenone,2019,4,6,0).
temp_front_700_hPa(gorizia,trieste,2019,4,6,0).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,6,0).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,6,1).
temp_front_700_hPa(gemona_stolvizza,gorizia,2019,4,6,1).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,6,2).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,6,2).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,6,2).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,6,2).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,6,2).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,3).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,6,3).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,6,3).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,6,3).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,4).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,6,4).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,4).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,5).
temp_front_700_hPa(lignano_grado,trieste,2019,4,6,5).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,6,5).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,6,5).
temp_front_700_hPa(lignano_grado,trieste,2019,4,6,7).
temp_front_700_hPa(gorizia,trieste,2019,4,6,7).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,6,13).
temp_front_700_hPa(lignano_grado,udine_palamnova,2019,4,6,13).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,6,13).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,6,13).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,6,13).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,15).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,6,15).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,15).
temp_front_700_hPa(lignano_grado,udine_palamnova,2019,4,6,17).
temp_front_700_hPa(barcis,pordenone,2019,4,6,17).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,6,17).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,6,17).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,6,19).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,6,19).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,6,19).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,6,19).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,6,19).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,6,20).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,6,21).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,21).
temp_front_700_hPa(barcis,pordenone,2019,4,6,21).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,6,21).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,6,21).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,6,22).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,6,22).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,6,22).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,6,23).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,6,23).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,6,23).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,7,0).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,7,0).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,0).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,7,1).
temp_front_700_hPa(barcis,pordenone,2019,4,7,1).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,1).
temp_front_700_hPa(lignano_grado,udine_palamnova,2019,4,7,3).
temp_front_700_hPa(barcis,pordenone,2019,4,7,3).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,7,3).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,3).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,4).
temp_front_700_hPa(barcis,pordenone,2019,4,7,4).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,7,4).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,4).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,7,5).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,5).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,7,5).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,7,5).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,7,5).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,7,5).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,7,6).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,6).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,7,6).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,7,6).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,7,6).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,7,6).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,7).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,7,7).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,7,7).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,7).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,8).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,8).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,7,8).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,8).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,9).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,9).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,7,9).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,9).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,7,10).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,10).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,7,10).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,7,10).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,10).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,11).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,11).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,7,11).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,7,11).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,7,13).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,13).
temp_front_700_hPa(barcis,pordenone,2019,4,7,13).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,7,13).
temp_front_700_hPa(pordenone,sappada_forni_villa,2019,4,7,13).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,7,14).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,7,15).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,15).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,7,15).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,15).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,15).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,7,16).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,16).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,7,16).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,7,16).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,16).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,17).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,17).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,7,17).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,17).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,18).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,18).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,7,18).
temp_front_700_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,18).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,19).
temp_front_700_hPa(gorizia,trieste,2019,4,7,19).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,7,22).
temp_front_700_hPa(gorizia,lignano_grado,2019,4,7,22).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,7,23).
temp_front_700_hPa(lignano_grado,trieste,2019,4,7,23).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,7,23).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,7,23).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,7,23).
temp_front_700_hPa(sappada_forni_villa,udine_palamnova,2019,4,8,0).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,8,0).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,8,0).
temp_front_700_hPa(gemona_stolvizza,udine_palamnova,2019,4,8,0).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,8,0).
temp_front_700_hPa(lignano_grado,pordenone,2019,4,8,1).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,8,1).
temp_front_700_hPa(gorizia,trieste,2019,4,8,1).
temp_front_700_hPa(pordenone,udine_palamnova,2019,4,8,1).
temp_front_700_hPa(lignano_grado,trieste,2019,4,8,2).
temp_front_700_hPa(barcis,sappada_forni_villa,2019,4,8,2).
temp_front_700_hPa(gorizia,trieste,2019,4,8,2).
temp_front_700_hPa(lignano_grado,trieste,2019,4,8,3).
temp_front_700_hPa(gorizia,pontebba_tarvisio,2019,4,8,3).
temp_front_700_hPa(gemona_stolvizza,gorizia,2019,4,8,3).
temp_front_700_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,8,4).
temp_front_700_hPa(gorizia,udine_palamnova,2019,4,8,4).
temp_front_700_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,8,4).
